chápu	55313
srdce	55195
zemi	55113
jednoho	55098
promluvit	55035
ostatní	54933
muže	54498
tuhle	54491
velký	54479
života	54348
mohu	54346
haló	54294
celé	54167
dobrou	54018
vrátit	53737
cokoliv	53690
dělám	53646
číslo	53345
šel	53230
odsud	53162
poslouchej	53091
jiného	53028
venku	52944
docela	52718
nemůžeme	52660
děláte	52119
dům	51998
naší	51810
jistý	51731
všech	51659
pozdě	51637
více	51608
tahle	51570
dám	51533
nějakou	51438
skvělé	51143
znám	51131
skvělý	51101
cítím	51079
předtím	50967
vždyť	50832
dveře	50785
brzy	50741
stane	50610
půjdu	50606
přijde	50521
zatím	50273
dovnitř	50226
zdá	50188
vzal	50108
svět	49820
hodin	49594
konec	49469
zde	49456
potřebujeme	49390
nový	49337
důvod	49079
vaší	48999
udělám	48883
světě	48879
svým	48673
přišla	48587
čím	48372
špatně	48351
čtyři	48326
zbraň	48233
žít	48216
zní	48126
někde	47889
aspoň	47727
dokonce	47677
dřív	47649
super	47511
dělal	47499
jasný	47418
dejte	47339
zůstat	47320
nechceš	47259
ach	47186
týden	47183
holka	47173
našli	46988
jiný	46956
páni	46943
mohlo	46941
konečně	46890
vaši	46571
svoje	46440
nechte	46409
žádná	46324
nemáme	46113
pocit	45976
radši	45881
rok	45790
dolů	45464
hrát	45300
věcí	45290
této	45204
nemyslím	45126
nejde	45094
víme	44996
smrti	44872
něm	43987
říkáš	43885
daleko	43873
nechal	43685
těžké	43678
kluk	43647
možné	43484
mrtvý	43264
dobu	43243
tělo	43148
ženy	43125
věřit	43060
hlavu	43025
potřebuji	42855
tvá	42811
nechtěl	42718
dolarů	42688
jediný	42572
oči	42552
muži	42479
potřebuje	42397
chvilku	42385
způsob	42347
přijít	42280
podívat	42072
naši	42029
chlape	41712
tomhle	41641
slečno	41624
chtít	41603
cestě	41483
dny	41396
roky	41305
nemohl	41297
mluvíš	41276
takové	41264
dělej	41229
přítel	41216
neměla	41174
slovo	41037
nyní	40928
jídlo	40865
syn	40799
během	40785
domu	40770
strach	40697
mnohem	40688
policie	40651
moji	40646
čau	40629
bůh	40582
malý	40467
šanci	40460
problémy	40351
věděla	40347
cestu	40090
místě	40012
tvou	39961
neřekl	39818
tou	39757
hodiny	39752
plán	39709
tys	39709
doby	39698
říkat	39607
počkejte	39515
jdeš	39493
ženu	39433
případ	39261
chtějí	39141
otce	39141
jich	39009
jistá	39000
vězení	38944
skvěle	38761
doktore	38758
nové	38711
stačí	38567
pěkně	38231
mým	38098
země	38076
mimo	38047
neviděl	38028
auta	38001
nejdřív	37870
loď	37770
snažím	37648
prdele	37600
pánové	37475
doktor	37425
odejít	37278
řekněte	37226
rozhodně	36963
životě	36864
dala	36821
mojí	36720
nahoru	36578
stojí	36525
rodina	36467
potřebovat	36400
velké	36331
smysl	36053
dne	35971
copak	35945
zdravím	35793
pouze	35761
drž	35727
vypadáš	35552
jasné	35542
mluvil	35459
chyba	35395
krev	35387
rozumím	35306
dostala	35283
madam	35230
ruku	35140
mělo	35014
smrt	35010
nemůžete	34971
telefon	34885
taková	34860
přátelé	34859
rodiče	34815
šest	34808
nikoho	34798
ono	34727
pracovat	34617
jmenuje	34553
tým	34540
nimi	34498
poprvé	34463
začít	34444
spát	34397
uvnitř	34282
kdybys	34197
nakonec	34178
školy	33994
mnoho	33989
špatné	33886
jiné	33884
vezmu	33813
jediná	33673
začal	33644
nevadí	33497
lety	33485
zeptat	33466
spíš	33332
holky	33331
pomoci	33318
příběh	33286
svých	33190
jaká	33187
spoustu	33135
zvláštní	33114
naprosto	33092
bratr	33056
večeři	32973
viděli	32967
deset	32946
šla	32907
nemáte	32823
syna	32783
potřebuješ	32737
kapitáne	32732
případě	32712
mém	32704
půl	32682
větší	32598
našla	32586
kluci	32559
mých	32526
nemusíš	32483
aha	32420
znáš	32389
odtud	32351
chceme	32305
nechce	32252
část	32037
města	32027
našeho	31993
uděláme	31972
město	31956
vašeho	31934
přišli	31909
raději	31866
zavolat	31715
tvého	31709
dole	31703
nějaká	31626
nejspíš	31591
pokoj	31571
zprávy	31524
kromě	31455
domě	31404
důležité	31402
myslet	31390
mne	31277
několik	31250
neboj	31198
udělali	31195
všude	31178
velká	31173
jet	31112
věřím	31061
šlo	31013
rodinu	30935
nevíš	30922
malá	30865
zastavit	30850
musela	30832
říkají	30818
alespoň	30655
velice	30507
bezpečí	30326
slyšela	30246
vidíte	30134
takového	30099
mrzí	30048
chtěli	30030
navíc	30017
dní	29996
klid	29945
možnost	29921
starý	29903
tohoto	29900
dostali	29842
čeho	29820
nedělej	29795
snaží	29747
uvěřit	29740
čemu	29737
nemohu	29728
zavolám	29714
udělej	29645
zjistit	29609
pamatuješ	29546
téhle	29443
líp	29442
peněz	29400
rádi	29383
záleží	29368
nebudeš	29316
lidem	29312
městě	29270
světa	29224
straně	29074
dámy	29027
tyto	28944
mluví	28922
slyšet	28842
svém	28791
hlavy	28725
půjdeme	28707
proboha	28689
čeká	28654
čekat	28640
jděte	28635
jakou	28530
malé	28510
pokoji	28469
nevěděl	28467
neví	28460
kterého	28432
najednou	28420
druhé	28419
zbraně	28332
dcera	28308
špatný	28273
půjde	28257
vrátil	28257
odkud	28253
neměli	28194
sestra	28191
tajemství	28175
zemřel	28050
každou	28035
cesty	27964
škole	27961
lépe	27956
zbytek	27931
tuto	27765
sex	27750
kým	27723
dělají	27691
nechápu	27655
překlad	27654
jakmile	27615
dostane	27579
svoji	27523
snažil	27481
hrozně	27449
vrátím	27418
chodit	27355
manžel	27354
nejsme	27207
neříkej	27177
chlapi	27171
zprávu	27171
zůstaň	27163
klidně	27153
hlavní	27148
místa	27111
našich	27052
vezmi	27018
pana	26978
ode	26965
skutečnosti	26900
hodinu	26873
běžte	26803
informace	26768
však	26763
srandu	26688
nikomu	26591
zatímco	26577
začíná	26564
šéfe	26462
poslal	26398
blízko	26373
žádnou	26336
náhodou	26253
někam	26099
celá	25985
mysli	25949
hlavně	25903
nahoře	25888
tomto	25880
rukou	25876
vede	25872
vzala	25811
skutečně	25801
držet	25796
vrátí	25785
výborně	25761
znáte	25692
rande	25644
druhý	25631
někým	25630
dostanu	25586
vlasy	25566
tudy	25551
nechtěla	25513
tato	25444
takovou	25388
slova	25344
době	25265
rozhodnutí	25261
vedle	25252
patří	25176
žije	25152
člověka	25118
nohy	25077
láska	25020
prý	25010
neudělal	25008
velkou	25000
řekli	24803
naživu	24730
nejste	24664
rodiny	24613
zachránit	24569
policii	24561
panebože	24532
týdny	24506
normální	24477
mluvím	24464
měsíc	24449
tentokrát	24436
největší	24331
vrať	24326
odešel	24321
ohledně	24278
sami	24278
okamžitě	24260
blázen	24224
společnost	24156
často	24065
bojovat	24047
právo	24013
zač	23942
úžasné	23941
šance	23925
ukaž	23880
těmi	23853
pěkný	23846
nemohla	23817
němu	23794
občas	23788
představit	23734
tisíc	23725
prachy	23692
lodi	23691
přísahám	23671
neřekla	23591
otázka	23563
věř	23545
jménem	23542
nebudeme	23462
tehdy	23440
poslouchejte	23406
měsíce	23397
strašně	23396
sbohem	23328
ztratil	23314
cesta	23305
stejné	23300
cenu	23295
starosti	23293
nechám	23265
spousta	23262
dvěma	23236
jediné	23230
ukázat	23216
mrtvá	23198
